outlet_id,cm_channel_id
70903,91251
277543,90885
21041,90433
70915,90151
298445,90538
23152,90516
40760,90523
40321,91330
21209,91359
319479,90826
258368,90624
7009,90720
383742,90625
39942,8268
41635,90863
70986,90532
207301,298
90120,90865
39496,90475
71007,262
50417,9299
21163,621
269238,23000
49429,1478
244004,1241
41799,6902
71071,6727
44131,91078
44133,91077
20961,90859
43194,6829
71085,8396
71088,90529
41957,6826
39436,8257
71098,90747
125834,8182
259375,90558
43437,1405
71121,6922
396485,90812
396756,90358
7005,6961
40771,90857
41934,6753
41490,90461
40121,90847
294166,90898
298715,90429
71173,91309
298414,91430
71176,90462
386977,91230
44166,90451
264016,91278
7054,6728
22848,8056
160685,90900
244036,328
21951,187
21298,167
255569,85
41935,8017
22891,862
21857,184
244041,8108
71221,360
264069,1771
244042,2065
269213,4780
22988,14014
396541,90949
396571,91232
42674,1298
39437,8451
244092,442
396543,91112
348068,28011
259787,28001
269225,90656
244153,1135
22540,3005
319144,822
22753,823
396817,90728
396818,90731
396816,90727
158180,91307
23162,91213
276874,6877
7592,6726
396606,91139
259956,23117
259984,7106
2067,91111
299164,90982
21994,90721
22651,230
269224,90563
396609,91128
396611,91130
260091,90378
260092,929
260093,90373
43240,90565
22294,8101
50520,8826
133338,2051
396614,91225
379674,90654
396615,90655
396641,90644
396617,91239
396616,90585
396619,90274
49225,91412
396549,90634
353939,8412
396555,20125
269243,20126
269250,20133
44450,20107
48927,2299
3391,6622
55286,20122
44458,20103
340365,6673
55300,20129
247855,20005
55307,20130
269251,20135
55311,20131
44465,20154
396620,90132
396621,20100
396622,20101
44466,20106
3403,6999
3405,6624
3406,6625
396545,6626
396625,6628
3411,6629
3412,6668
3413,6630
3414,6631
3415,6632
3416,6633
3418,6669
3419,6634
396627,6684
3420,6670
3421,6672
3423,6635
3424,90139
3425,6636
3426,6674
3427,6637
44471,6639
3430,6640
3431,6641
396626,6642
3433,6643
3435,6676
3436,90141
3437,6644
3438,6645
3440,6678
3447,6679
3441,6680
3442,6646
3443,6648
3444,6649
3445,6651
44473,91098
55328,20136
3450,90143
3451,6681
269230,20124
396623,90305
396624,91076
55342,20128
3457,6650
407732,91333
44481,20008
61306,20137
396628,90963
3880,23017
3932,90718
21184,630
55499,8063
4291,6663
396575,20114
249093,7068
55575,6638
48957,91163
269217,90633
249088,7060
396822,91135
396561,28012
396685,90905
23012,6889
56472,6654
44810,90395
396629,7079
6636,7075
252748,6743
252121,90944
6561,7085
7122,8001
6498,7078
248832,90265
396725,90362
396724,6951
251049,6949
396633,7105
396731,91036
252626,6745
248923,7084
250657,6748
396803,6718
6591,8005
251875,91460
316714,6060
244855,8289
22246,750
22778,8836
42707,90695
48995,91303
21207,8569
39869,8015
255765,8072
319567,8161
21428,90873
6659,90224
41056,90527
307557,8033
248457,6956
396630,6713
6694,7088
396581,90735
6724,7080
316226,14002
248748,90758
6953,6710
6968,7003
6973,6723
249895,90795
248779,6700
396589,7008
248212,7009
252411,7011
7023,6734
7030,91336
7040,91269
250041,91369
7082,91465
7084,7016
7093,7111
396735,91027
7114,6967
7116,91271
252287,6968
7126,91334
7131,90193
252556,6972
252969,6969
7177,20105
255704,6907
7281,6947
7310,6973
7322,91461
252939,7021
396578,91020
396579,91148
7354,7022
396736,91268
7436,90638
7576,6974
7596,91468
269198,6715
251308,7020
250027,90737
251018,6975
252532,90402
396765,91024
7638,91467
248870,6701
7649,91229
249721,90821
7750,90385
7755,91459
7759,6959
7761,6994
396766,91023
249285,486
7783,7030
7789,90759
396729,91022
7814,7031
7848,7034
7877,6976
252096,91092
396707,90738
390556,7026
8042,6977
251690,90867
8070,6978
8073,90922
304092,6739
8089,6979
251748,6721
396730,91026
8096,6980
252549,90309
250305,90467
269197,90733
8119,91227
396773,91176
248649,91090
8148,91466
8164,6740
248979,7042
396595,7044
261067,7045
251112,6983
249963,7046
8195,90663
8197,6958
8226,91326
396635,90924
297000,91167
8255,91324
252965,6731
248887,6986
8288,91272
8311,6987
304310,91370
294234,90925
8355,91463
396554,90926
8373,7051
8379,91325
297051,91060
8382,6989
